model,baseline_avg_ms,attack_avg_ms,avg_delta_pct,p95_delta_pct,p99_delta_pct,throughput_delta_pct,cohens_d,welch_t_stat,welch_df,welch_p_value,ci95_avg_delta_pct_lower,ci95_avg_delta_pct_upper,baseline_avg_outlier_count,attack_avg_outlier_count
jwt,1.6470796000000054,1.610052299999994,-2.2480577137869537,-5.030130982624115,12.717150152815199,2.2997575917261437,-0.017818492045058715,-0.02817350966598858,7.980767466305584,0.9782155343164334,-68.26827827458082,66.62096579254636,0,0
oauth,1.42365779999999,1.882911699999985,32.25872818594457,33.77535539689989,51.008282319000585,-24.390623309632566,-0.3706484549445468,-0.5860466644235331,7.957940977829427,0.5740853850323657,-73.67576887565257,43.83828189790847,0,0
sessions,1.9600531000000054,1.381403099999996,-29.522159374152046,-31.03332915150784,-42.62715154653415,41.88856967238681,-0.10316092827307108,-0.1631117494400826,7.42935075449217,0.8747793025025314,-62.54690418824283,54.38622008610573,0,2
